State,state,Housing Price,Hot Summer
 AK,alaska,307330.75,65
 WA,washington,292721.25,76
 ME,maine,293579.17,79
 WI,wisconsin,261838.92,80
 VT,vermont,334506,81
 MA,massachusetts,332145.67,81
 MI,michigan,236934.29,82
 NH,new hampshire,331244.5,82
 CT,connecticut,263348.86,82
 OR,oregon,324180.57,82
 WY,wyoming,368873.5,83
 SD,south dakota,325129.25,84
 IL,illinois,228763.94,84
 ND,north dakota,419371.5,85
 MN,minnesota,289725.33,85
 IN,indiana,232422.21,85
 OH,ohio,227480.37,85
 NY,new york,266112.37,85
 WV,west virginia,274547.75,85
 IA,iowa,268713.42,86
 MT,montana,336539.33,86
 NJ,new jersey,306666,86
 NM,new mexico,274248.7,86
 KY,kentucky,257741.25,87
 PA,pennsylvania,267423.03,87
 DE,delaware,262866,87
 NE,nebraska,275638,88
 MO,missouri,247690.12,88
 HI,hawaii,349158.17,88
 KS,kansas,277119.8,89
 MD,maryland,315524.12,89
 NC,north carolina,256361.71,89
 UT,utah,349480.5,90
 CO,colorado,403398.6,90
 NV,nevada,273101.6,90
 VA,virginia,297255.81,90
 GA,georgia,260420.97,90
 ID,idaho,310453.6,91
 LA,louisiana,329408.45,91
 TN,tennessee,302603.33,92
 AR,arkansas,262582.2,92
 CA,california,353676.2,92
 MS,mississippi,262328.33,92
 AL,alabama,257637,92
 FL,florida,320883.65,92
 SC,south carolina,308675.55,93
 OK,oklahoma,296345.58,94
 TX,texas,329846.43,96
 AZ,arizona,330528.95,106
