State,state,Housing Price,Cold Winter
 SD,south dakota,325129.25,22
 AK,alaska,307330.75,23
 ND,north dakota,419371.5,23
 MN,minnesota,289725.33,26
 VT,vermont,334506,27
 ME,maine,293579.17,28
 WI,wisconsin,261838.92,29
 MI,michigan,236934.29,30
 NH,new hampshire,331244.5,31
 IA,iowa,268713.42,31
 IL,illinois,228763.94,32
 NE,nebraska,275638,32
 MT,montana,336539.33,33
 IN,indiana,232422.21,35
 MA,massachusetts,332145.67,36
 OH,ohio,227480.37,36
 CT,connecticut,263348.86,37
 UT,utah,349480.5,38
 ID,idaho,310453.6,38
 NY,new york,266112.37,39
 NJ,new jersey,306666,39
 WY,wyoming,368873.5,40
 KY,kentucky,257741.25,40
 PA,pennsylvania,267423.03,40
 MO,missouri,247690.12,40
 KS,kansas,277119.8,40
 WV,west virginia,274547.75,42
 MD,maryland,315524.12,42
 DE,delaware,262866,43
 NM,new mexico,274248.7,44
 CO,colorado,403398.6,45
 NV,nevada,273101.6,45
 WA,washington,292721.25,47
 VA,virginia,297255.81,47
 OR,oregon,324180.57,48
 TN,tennessee,302603.33,50
 OK,oklahoma,296345.58,50
 NC,north carolina,256361.71,51
 AR,arkansas,262582.2,51
 GA,georgia,260420.97,52
 CA,california,353676.2,54
 MS,mississippi,262328.33,56
 SC,south carolina,308675.55,56
 AL,alabama,257637,57
 LA,louisiana,329408.45,62
 TX,texas,329846.43,62
 FL,florida,320883.65,64
 AZ,arizona,330528.95,67
 HI,hawaii,349158.17,80
