State,Name,Population,Household Income,Per Capita Income
02,Alaska,683142.0,64635.0,29382.0
01,Alabama,4633360.0,41216.0,22732.0
05,Arkansas,2838143.0,38542.0,20977.0
04,Arizona,6324865.0,50296.0,25203.0
06,California,36308527.0,60392.0,29020.0
08,Colorado,4843211.0,56222.0,29679.0
09,Connecticut,3494487.0,67721.0,36468.0
11,District of Columbia,588433.0,56519.0,40846.0
10,Delaware,863832.0,57618.0,28935.0
12,Florida,18222420.0,47450.0,26503.0
13,Georgia,9497667.0,49466.0,25098.0
15,Hawaii,1280241.0,64661.0,28662.0
19,Iowa,2978880.0,48052.0,25060.0
16,Idaho,1492573.0,46183.0,22262.0
17,Illinois,12785043.0,55222.0,28469.0
18,Indiana,6342469.0,47465.0,24044.0
20,Kansas,2777835.0,48394.0,25522.0
21,Kentucky,4252000.0,41197.0,22284.0
22,Louisiana,4411546.0,42167.0,22535.0
25,Massachusetts,6511176.0,64496.0,33460.0
24,Maryland,5637418.0,69475.0,34236.0
23,Maine,1316380.0,46541.0,24980.0
26,Michigan,10039208.0,48700.0,25172.0
27,Minnesota,5188581.0,57007.0,29431.0
29,Missouri,5904382.0,46005.0,24423.0
28,Mississippi,2922240.0,36796.0,19534.0
30,Montana,956257.0,43089.0,22881.0
37,North Carolina,9045705.0,45069.0,24547.0
38,North Dakota,639725.0,45140.0,24978.0
31,Nebraska,1772124.0,47995.0,24568.0
33,New Hampshire,1315419.0,63033.0,30640.0
34,New Jersey,8650548.0,68981.0,34566.0
35,New Mexico,1964860.0,42742.0,22461.0
32,Nevada,2545763.0,55585.0,27395.0
36,New York,19423896.0,55233.0,30634.0
39,Ohio,11511858.0,47144.0,24830.0
40,Oklahoma,3610073.0,41861.0,22561.0
41,Oregon,3727407.0,49033.0,25893.0
42,Pennsylvania,12516596.0,49737.0,26678.0
72,Puerto Rico,3940109.0,18627.0,10056.0
44,Rhode Island,1057381.0,55569.0,28638.0
45,South Carolina,4416867.0,43572.0,23196.0
46,South Dakota,796513.0,44828.0,23445.0
47,Tennessee,6158953.0,42943.0,23557.0
48,Texas,23819042.0,48199.0,24318.0
49,Utah,2651816.0,55642.0,22684.0
51,Virginia,7721730.0,60316.0,31606.0
50,Vermont,620414.0,51284.0,27036.0
53,Washington,6465755.0,56384.0,29320.0
55,Wisconsin,5599420.0,51569.0,26447.0
54,West Virginia,1811403.0,37356.0,20891.0
56,Wyoming,523949.0,51990.0,26925.0
